Strain,Experimental,GSMM,Binary_Experimental,Binary_GSMM,ML_prediction
A05_29,17.4488139303697,2.05298704897629,1,1,1
A05_30,15.8679700562327,0.993940381059439,0,0,0
A05_31,15.8818111843532,0.993018197209147,0,0,0
A05_33,16.9320924773681,1.00653314530305,1,0,0
A05_34,13.6690522812998,2.0687283949388,0,1,0
A05_35,14.7602790857447,0.527299884548809,0,0,1
A05_36,15.8569917761244,0.957078744556509,0,0,0
A05_37,17.8170336251517,2.07774035914569,1,1,0
A05_38,16.2826396635292,0.982604404816523,0,0,0
A05_39,17.0495868212612,2.06863575749144,1,1,0
A05_40,14.9055937801167,0.978638777572767,0,0,0
A05_41,16.26464089436,2.00584245100439,0,1,0
A05_42,15.5766384168844,2.06267946143661,0,1,0
A05_43,14.3882153143144,0.46833797688639,0,0,0
A05_44,14.91876794234,2.06872864887869,0,1,1
A05_45,15.0660841301768,0.986275889947164,0,0,1
A05_47,16.6083274287092,0.940088697209345,1,0,1
A05_48,15.7853769278936,1.94201387567945,0,1,1
A05_49,16.4563215571659,1.12179866019546,1,0,0
A05_50,18.0293671623482,2.09435974408263,1,1,0
A05_53,16.2318703826981,2.06462195246089,0,1,0
A05_54,17.6294368769454,0.95412489187613,1,0,1
A05_55,16.1612940207982,2.06881088662684,0,1,1
A05_56,14.2651486849579,2.05338100684073,0,1,0
A05_57,17.88429320717,1.06365238646305,1,0,1
A05_59,16.5925944057889,2.06667311478624,1,1,0
A05_60,16.6035849579104,0.985477286741028,1,0,1
A05_61,17.258210600103,0.934682050347682,1,0,1
A05_62,17.0951017612285,0.493650441725184,1,0,0
A05_63,17.0176158351442,0.986753805829011,1,0,1
A05_64,15.8146587345645,2.05605817028241,0,1,0
A05_65,17.4682444380959,2.06952291027719,1,1,1
A05_66,16.605758492195,0.947337055340412,1,0,1
A05_67,16.9406732553992,0.578746110022827,1,0,1
A05_68,16.6477335903303,2.06872864887871,1,1,0
A05_70,15.9314989140615,0.800257844889881,0,0,1
A05_71,14.7436493944039,0.5448728379183,0,0,0
A05_72,16.867506681041,1.0804612959265,1,0,0
A05_73,15.9612088527049,1.01027855308418,0,0,0
A05_74,15.9862621795757,2.04243857935667,0,1,1
A05_75,15.4897602682851,1.07720153781142,0,0,0
A05_76,14.8997590571082,2.09137023143912,0,1,0
A05_77,16.6782654967096,2.06866479742582,1,1,1
A05_78,16.6387542460928,1.09231004102363,1,0,1
A05_79,15.2204675971114,0.992651940283941,0,0,0
A05_80,16.198245108205,2.06654923079054,0,1,0
A05_81,15.9383201465522,2.0516958920286,0,1,0
A05_83,14.9867836398559,2.06863575749152,0,1,0
A05_84,15.7210361208213,0.957065208116727,0,0,0
A05_85,18.0488895400065,2.09978906445828,1,1,1
A05_86,15.732911460404,2.0630063887166,0,1,0
A05_87,16.5972202809875,2.09543903426701,1,1,1
A05_88,15.968133371035,2.06640869579869,0,1,0
A05_89,15.9201935934235,1.96676881291936,0,1,1
A05_90,16.9053075651365,2.06271353879164,1,1,1
A05_91,15.7940330274203,2.06300638871716,0,1,0
A05_92,15.7196355340059,0.986276003379912,0,0,0
A05_93,15.3479652649502,2.10063435699885,0,1,0
A05_94,14.8325834779358,2.05562331823134,0,1,0
A05_95,15.6692075573546,1.03818147410957,0,0,0
A06_01,17.3412552284912,0.972458179206776,1,0,0
A06_02,17.1900759397458,0.504668505994652,1,0,0
A06_03,16.2784659657974,2.10930058323482,0,1,1
A06_04,16.6055163641433,0.50075442009669,1,0,1
A06_06,16.7939955330926,2.06528618765968,1,1,1
A06_07,15.537911903215,0.994741130485863,0,0,0
A06_08,15.8009380183648,1.08866542855494,0,0,0
A06_09,13.4794639744422,0.486635357977187,0,0,0
A06_10,16.1392679356466,2.06733048731847,0,1,0
A06_11,15.0580693635263,0.95125542201403,0,0,0
A06_12,15.5824102617774,1.81123198047578,0,1,0
A06_13,16.5385763750661,0.98470684613546,1,0,1
A06_14,17.0266644781157,2.09916363505289,1,1,0
A06_15,16.5910283980651,0.473330200097396,1,0,1
A06_16,17.2792074934002,2.07774035914754,1,1,1
A06_17,16.645440546804,0.567971858672927,1,0,0
A06_18,14.8568343403318,2.0569801045191,0,1,1
A06_19,15.8011873389791,1.08876785855448,0,0,0
A06_20,17.601346889937,2.09426293208056,1,1,1
A06_21,16.0138804531778,1.06955322147649,0,0,1
A06_22,15.6978298806809,0.441728269800815,0,0,1
A06_23,14.6773654307911,2.10827669917921,0,1,0
A06_24,15.6306146520929,0.986276003379888,0,0,1
A06_25,15.0895693810887,2.04899743780797,0,1,0
A06_26,16.5104418799035,2.05575690427025,1,1,1
A06_27,18.0162897169856,1.81928523986578,1,1,1
A06_28,16.783770525443,0.98676694441494,1,0,0
A06_29,16.7279396950842,0.985978863248505,1,0,1
A06_30,16.1854474251589,1.87829243762661,0,1,1
A06_31,16.8874015390545,0.991752934450344,1,0,0
A06_32,16.391147503514,2.06791292984934,1,1,1
A06_33,16.533758201269,0.984705352197877,1,0,0
A06_34,16.267191126559,0.963736914004292,0,0,1
A06_35,19.0438769814523,0.979607022255744,1,0,1
A06_36,16.7974043116332,2.05996015492719,1,1,1
A06_38,17.0335646038692,0.957258534513354,1,0,1
A06_39,17.6975956501064,2.10827669917189,1,1,1
A06_40,17.1955555082199,0.80369094404175,1,0,0
A06_42,16.6523309557064,0.985480937013684,1,0,1
A06_43,15.129528379769,0.965238331236218,0,0,0
A06_44,15.4207203769277,1.64204487549848,0,1,1
A06_45,15.6314194862336,0.947541995359325,0,0,0
A06_46,17.7509826253938,2.08079638839987,1,1,1
A06_47,16.6436804751174,0.979122779096513,1,0,0
A06_48,17.1513290650162,2.10818487760641,1,1,0
A06_49,16.4870953819077,2.07774035914744,1,1,1
A06_50,15.9444540748433,0.445942348165459,0,0,0
A06_51,17.5468928831134,2.01665938580209,1,1,0
A06_52,15.3076089414816,0.986275889949204,0,0,1
A06_53,17.133541619962,2.06993748474508,1,1,0
A06_56,15.642786157168,0.994741130485836,0,0,0
A06_57,14.8914431906079,0.561100064125183,0,0,0
A06_58,14.7259698437507,0.594523799344616,0,0,0
A06_59,16.7599226423933,1.06596775431065,1,0,0
A06_60,16.7471036860899,2.10941653554553,1,1,1
A06_61,16.8396981778962,2.06884018544274,1,1,0
A06_62,14.3020364733309,2.00443349889863,0,1,0
A06_63,15.2657636383034,0.986753805829679,0,0,0
A06_64,16.8625563907908,2.0673174811188,1,1,0
A06_66,17.5716943582976,2.06010353812898,1,1,1
A06_67,16.8310900468574,2.10830070728052,1,1,1
A06_68,15.3147135796976,0.933968951633041,0,0,1
A06_69,15.79865702353,0.985488592633577,0,0,0
A06_70,16.7016418570992,2.06790857257184,1,1,0
A06_71,17.7944083779883,0.577486377541668,1,0,1
A06_73,13.0581930156592,2.06733048731945,0,1,0
A06_75,17.1197941473782,2.10249510797779,1,1,1
A06_76,16.8689351757224,2.09137023143964,1,1,1
A06_77,16.0740808602736,2.10174184361788,0,1,0
A06_78,17.3626625079524,0.962892511957987,1,0,0
A06_80,16.4420984994533,2.06207018375573,1,1,1
A06_81,16.620821752419,0.821877336240581,1,0,1
A06_82,15.0708235312424,0.989888764267845,0,0,1
A06_83,15.9685761292318,2.06664257352484,0,1,1
A06_84,15.3185146990021,0.965711202531564,0,0,0
A06_85,16.3895564986472,0.947531836259384,1,0,0
A06_86,16.6810898221455,2.10830070728134,1,1,1
A06_87,17.8802266126338,2.06345320152686,1,1,1
A06_88,15.8639602671005,2.06537877846425,0,1,1
A06_89,16.0421669032323,2.06182104033552,0,1,0
A06_90,16.9252051578397,1.94099821072321,1,1,1
A06_91,16.8190005500078,0.955050943142791,1,0,0
A06_92,18.0077625838611,2.09366775643862,1,1,1
A06_93,16.587150691016,1.04677820386635,1,0,0
A06_94,15.9668856747732,0.578746110022829,0,0,1
A06_95,16.1370165244625,2.10818487760678,0,1,1
A06_96,16.8410121009776,0.986753805828129,1,0,0
A07_01,15.6909872521481,2.06334784060412,0,1,0
A07_02,18.069426679145,1.09144154740368,1,0,1
A07_03,15.7505936655525,0.985744085347282,0,0,0
A07_04,16.2482874087295,2.09426293208177,0,1,1
A07_05,15.8784303340069,1.94590598562326,0,1,0
A07_06,18.2391047142809,2.09435974408087,1,1,0
A07_07,16.7033603549588,0.988477246997046,1,0,0
A07_08,16.3593675281407,0.52729988454684,1,0,1
A07_09,16.9294522113319,2.10827690850815,1,1,0
A07_10,17.6483373244952,2.02880495955645,1,1,1
A07_11,15.4011952621185,0.992063946146411,0,0,0
A07_12,18.0598971795197,2.05984969611688,1,1,0
A07_13,15.0435350326168,2.06040494037573,0,1,1
A07_14,14.9354844118955,0.963737001544095,0,0,0
A07_15,17.3433631328333,0.956471572777148,1,0,0
A07_16,16.5495881598003,0.934160136155406,1,0,1
A07_17,16.5382016462047,0.993940265857012,1,0,1
A07_18,15.6438332265147,0.867280708766911,0,0,1
A07_19,15.926147105931,1.15377862040745,0,0,0
A07_20,17.9559613134248,2.09435974408407,1,1,0
A07_21,16.9663338309201,2.00685237514812,1,1,1
A07_22,15.7570224556978,0.446365299598413,0,0,1
A07_23,16.3388539013414,0.776657518987163,1,0,1
A07_24,13.9692165411191,1.00451031375262,0,0,0
A07_25,14.9908536818201,0.993781462280309,0,0,1
A07_26,16.3727119565709,0.993490033486633,1,0,0
A07_27,15.3517348603996,2.01911712733259,0,1,0
A07_28,14.5142972798038,2.05078057717117,0,1,0
A07_29,18.1439564844248,0.950313968508589,1,0,1
A07_30,18.5721884865135,2.09438240955435,1,1,1
A07_31,16.1862077224145,2.01354040157926,0,1,0
A07_32,16.1035360368805,2.07852806720729,0,1,0
A07_33,18.0440500285577,0.983657072997269,1,0,1
A07_34,15.8132744754586,0.936011462551391,0,0,1
A07_35,17.6357828096368,2.06733048731839,1,1,0
A07_36,16.6839353832428,2.10830070728061,1,1,0
A07_37,18.7672700251628,2.04384332641597,1,1,0
A07_38,16.3296724328307,1.99600971866495,1,1,0
A07_39,15.2136728218983,0.97123697647302,0,0,0
A07_40,16.089162843398,0.963728607161063,0,0,1
A07_41,18.1312795769714,1.06538134251169,1,0,0
A07_42,16.9770130596231,2.08747262729753,1,1,1
A07_43,15.2751733617621,2.10818487760194,0,1,1
A07_44,15.5470441516523,2.113476819219,0,1,0
A07_45,17.9985507301669,2.06296092704581,1,1,1
A07_46,16.3228240697782,1.93669994331751,1,1,1
A07_47,16.5642704286084,2.06664283799961,1,1,1
A07_48,14.6600805517872,1.94605996207048,0,1,0
A07_49,17.4250468537258,0.578830606592646,1,0,1
A07_50,16.4482270908963,2.07850456577854,1,1,0
A07_51,18.593879222608,0.979593786149967,1,0,1
A07_52,15.5324995325504,1.85326731738374,0,1,0
A07_53,17.7881387005361,2.09438240955423,1,1,1
A07_54,15.8362316110654,0.498282129422781,0,0,1
A07_55,16.9076916045255,0.98917420959591,1,0,0
A07_56,14.3920917234218,1.92506866966067,0,1,0
A07_57,15.7692392973571,0.975678710059627,0,0,0
A07_58,13.7972228885684,0.49825153777034,0,0,1
A07_59,16.4897962263378,1.07555446108289,1,0,0
A07_61,18.1814453517792,1.10967442677514,1,0,0
A07_62,17.5875821780111,0.975381618278482,1,0,1
A07_63,16.4777880784457,0.985488592633741,1,0,0
A07_64,14.7150765870802,0.544883204430579,0,0,0
A07_65,17.2548383879157,2.06277515775214,1,1,0
A07_66,15.9768364906692,1.99214540274059,0,1,0
A07_67,17.0961164223154,0.986753805829042,1,0,0
A07_68,17.2195715837725,2.1082766991686,1,1,0
A07_69,16.881398253169,2.06728798367958,1,1,0
A07_70,15.1249891671976,2.06667311478659,0,1,0
A07_71,15.2751782704006,0.988488311785997,0,0,0
A07_72,16.8666083479251,2.05952567765892,1,1,0
A07_73,14.953546921416,2.0481428988652,0,1,0
A07_74,14.7797341041204,2.06277545471818,0,1,0
A07_75,17.6161788493268,2.06408086572311,1,1,0
A07_76,13.8606743696064,2.05855563862697,0,1,0
A07_77,16.3305173917263,2.09435990353618,1,1,1
A07_78,17.1276848632576,1.99561366643915,1,1,0
A07_79,15.8555333673394,2.10818487760681,0,1,1
A07_80,16.3466467918043,1.9098431173226,1,1,0
A07_81,17.146471635711,2.07290250131746,1,1,1
A07_82,15.7897502279568,2.06200860690336,0,1,1
A07_83,18.2657777638705,2.08885870001908,1,1,0
A07_84,17.7443753419938,1.90534523861021,1,1,1
A07_85,15.6387824184867,1.85101954284721,0,1,1
A07_86,18.1783265977227,1.88769459107945,1,1,1
A07_87,16.9893485028969,0.956088029391093,1,0,1
A07_88,17.5553178368357,2.10827669916866,1,1,0
A07_89,16.7704152810904,1.91995453029992,1,1,1
A07_90,16.4796946525533,2.06667311478175,1,1,1
A07_91,15.7908463575171,0.967375948621212,0,0,1
A07_92,15.4451596162326,2.02820215273549,0,1,0
A07_93,16.3815402100727,1.06126175559793,1,0,1
A07_94,16.4239141708728,1.7006896027831,1,1,1
A07_95,17.5684912601384,0.511265975440051,1,0,0
A08_01,15.3415862295076,0.529119865735446,0,0,1
A08_02,15.9638963266026,2.06326766848435,0,1,0
A08_03,18.1089409606298,2.09990736298104,1,1,1
A08_04,17.104783043023,0.964507244594793,1,0,1
A08_05,16.3105670645786,1.00733964110011,0,0,1
A08_06,16.6386711586346,0.986275889946068,1,0,0
A08_07,15.8926727606566,2.06780808711412,0,1,0
A08_08,16.8081498550839,2.0520599230532,1,1,1
A08_09,17.4935317503828,2.06267946143608,1,1,0
A08_10,16.0218232745576,1.08812923029874,0,0,0
A08_11,18.0008996257616,2.05572671995355,1,1,1
A08_12,15.2560607185218,2.02459796025866,0,1,1
A08_13,16.2371452162782,2.06040494037573,0,1,1
A08_15,15.1698643205529,0.951619403672505,0,0,0
A08_16,16.3555298630552,0.996946848802913,1,0,0
A08_17,14.7201845636508,0.993940265856225,0,0,1
A08_18,18.4391796292249,2.06219969053454,1,1,1
A08_19,16.4603523044126,1.94245743560102,1,1,1
A08_20,17.2856205253591,0.578894821954164,1,0,1
A08_21,15.8764268644732,0.986275889948392,0,0,1
A08_22,16.8571048899297,2.07152805811775,1,1,1
A08_23,16.4334417605652,0.86693198100036,1,0,1
A08_24,18.1905902515394,2.04621436355325,1,1,0
A08_26,15.9347883860205,0.964363770125086,0,0,0
A08_27,17.0717112334868,0.972860578984114,1,0,1
A08_28,15.6594962678708,0.983016246635844,0,0,0
A08_29,16.7892842476912,2.0497138023739,1,1,1
A08_30,14.7463521211498,1.87651057862408,0,1,0
A08_31,18.2628138398838,2.10830070728059,1,1,0
A08_32,16.5119970546603,2.06777751229982,1,1,1
A08_33,15.5852259966706,2.06768406701671,0,1,0
A08_34,17.4499134255676,0.948929713292665,1,0,1
A08_35,17.5140174331396,0.954713588112846,1,0,0
A08_36,15.3086669502589,1.93999075829381,0,1,0
A08_37,17.2239996743248,0.778170393661617,1,0,1
A08_38,17.8765881947641,1.42275844349457,1,0,1
A08_39,16.6381407455534,2.02248550523511,1,1,0
A08_40,16.8218260551645,2.03459103517203,1,1,1
A08_41,15.5914479531563,0.985488592632619,0,0,1
A08_42,17.4305434644311,2.09555864597325,1,1,0
A08_43,16.1481113104141,2.06500918564358,0,1,0
A08_44,15.5485636122121,0.954821077965325,0,0,1
A08_45,17.0366603611267,0.954582901379052,1,0,0
A08_46,16.2528007594884,2.04561959381369,0,1,0
A08_47,16.9537467618748,0.82123959134913,1,0,0
A08_48,16.2115809268474,0.970379297653136,0,0,0
A08_49,17.173273320476,1.90008212766427,1,1,1
A08_50,17.2695021080795,2.05288220623488,1,1,1
A08_51,15.9594021797012,0.994741130485459,0,0,0
A08_52,15.9712863194714,0.573228184002572,0,0,1
A08_53,15.6444088606964,2.02219455472351,0,1,1
A08_54,14.0345074060901,1.04751740937763,0,0,0
A08_55,17.2996249875276,0.455034051364866,1,0,1
A08_56,14.4266432944338,0.955938689240499,0,0,1
A08_57,17.68994754062,2.02646172100521,1,1,1
A08_58,15.7955744375349,2.06271353879096,0,1,0
A08_59,16.3841866365573,0.967009644460355,1,0,0
A08_60,15.3240753139091,0.986275889947512,0,0,1
A08_61,14.4127387008217,1.00690396568999,0,0,0
A08_62,16.0019055622065,0.986563771793496,0,0,1
A08_63,15.7493346141153,0.994741245872676,0,0,0
A08_64,15.958649752006,2.06191710471983,0,1,0
A08_65,17.8785020489585,2.0949121245391,1,1,1
A08_66,15.4538501300382,2.06040494037462,0,1,1
A08_67,16.3835028036176,1.08589449066419,1,0,1
A08_68,14.0547240435989,2.0687182417905,0,1,0
A08_69,15.1295042528779,0.986275889946507,0,0,0
A08_70,16.4967555003658,2.0899321293741,1,1,1
A08_71,16.3597154157706,1.06126162515561,1,0,1
A08_72,18.4758299367817,2.10818487760681,1,1,1
A08_73,14.0155333039436,2.0620701837524,0,1,0
A08_74,15.7441475628331,0.464338901479145,0,0,0
A08_75,17.8466704881069,2.05015291873308,1,1,0
A08_76,16.3590008328412,2.06846618198994,1,1,1
A08_77,17.3980391114121,1.08256149898105,1,0,0
A08_78,15.6379377040764,1.05027879313861,0,0,1
A08_79,16.2091733144792,0.99506807246231,0,0,1
A08_80,15.9174406628429,0.457907352586169,0,0,0
A08_81,16.5843751749636,2.06872839494224,1,1,0
A08_82,17.1578817224576,2.05075211543782,1,1,1
A08_83,15.611824326189,1.07256040988085,0,0,1
A08_84,16.4653033842565,2.06197455283623,1,1,0
A08_85,18.3315786975202,0.81614393826354,1,0,1
A08_86,15.2012172283081,0.564090423410612,0,0,0
A08_87,17.3959135387183,0.571345816840313,1,0,0
A08_89,16.5236824931889,1.01232481604339,1,0,1
A08_90,17.1902237818458,1.97513745034486,1,1,0
A08_91,17.7713703533822,1.93436569805725,1,1,0
A08_92,15.0058319193838,2.04722599028631,0,1,0
A08_93,17.4420035984149,2.10820867430265,1,1,1
A08_94,16.8719065379945,2.108208674304,1,1,0
A08_95,16.531519630702,2.0704452440511,1,1,1
A08_96,17.2295676921875,2.10827669917006,1,1,1
A09_01,14.9630841922966,1.06601005607621,0,0,0
A09_03,14.5078223339473,1.04026767037872,0,0,0
A09_04,17.044121902576,0.573499335972881,1,0,1
A09_05,16.1776219812606,1.1028129248941,0,0,0
A09_06,16.5336807338183,0.44636529959969,1,0,1
A09_07,18.6741724897621,2.10888495100285,1,1,1
A09_08,14.3750371130844,0.955312904737891,0,0,0
A09_09,18.1449935320742,2.09438240955423,1,1,1
A09_10,18.1122416116908,1.94144130675448,1,1,1
A09_11,14.2108484703447,1.96795219097216,0,1,0
A09_12,16.4193597466399,2.10939271157454,1,1,0
A09_14,15.3726576407568,2.04817846839274,0,1,0
A09_15,16.429671922509,2.05952592396021,1,1,0
A09_16,16.1115432284629,2.10827669917068,0,1,0
A09_17,17.7339775104331,2.09435974408276,1,1,0
A09_18,14.8231552228525,0.976682116163416,0,0,0
A09_19,16.0932376800872,2.10930058323766,0,1,0
A09_20,16.6277571226144,2.10249527089151,1,1,1
A09_21,16.0235806150436,1.00717950756333,0,0,0
A09_22,16.3667987890875,2.01153119548532,1,1,0
A09_23,17.1774796932641,2.01097114287465,1,1,1
